28,28,vlymoxyd,33.06,1.29,17.50,731,841,0,0,-3.17,26.00,0.81,14.10,236,209,0,8688,7223,354,188,54,1.20,1129.60,8.00,2009-05-06 00:01:27,0,0
29,29,Darkling,34.29,1.75,17.40,553,466,0,0,7.10,27.65,0.85,15.10,155,78,0,3188,2601,170,155,6,1.23,703.58,4.77,2009-05-06 00:01:27,0,0
30,30,Kap,32.19,1.08,17.40,1147,1389,0,2,-3.14,25.52,0.82,13.80,126,121,0,12740,12722,721,416,52,1.00,1791.59,7.51,2009-05-06 00:01:27,0,0
31,31,No_Nose_Pete,34.32,1.81,17.30,998,560,0,46,18.42,22.31,2.59,8.70,5,5,0,5863,3083,215,151,7,1.90,777.19,7.82,2009-05-06 00:01:27,0,0
32,32,Clay_Pigeon,32.16,1.18,17.20,1191,1184,0,14,1.41,26.57,0.81,14.50,146,110,0,5665,6781,564,408,92,0.84,1339.31,4.65,2009-05-06 00:01:27,0,0
33,33,merc,31.47,1.01,17.10,1868,1566,0,54,6.38,22.11,1.82,10.00,9,14,0,9311,8756,923,442,17,1.06,1894.59,5.40,2009-05-06 00:01:27,0,0
34,34,Adaven,32.07,1.19,17.10,1367,811,0,6,11.58,24.96,0.85,13.40,68,72,0,13435,6704,653,578,84,2.00,1215.02,11.59,2009-05-06 00:01:27,0,0
35,35,PsycHosis,32.91,1.49,17.10,921,525,0,18,12.83,27.07,0.83,14.80,243,149,0,5600,2733,268,310,15,2.05,775.48,7.57,2009-05-06 00:01:27,0,0
36,36,Drizzo,31.68,1.09,17.10,1166,1187,0,20,-0.33,28.53,0.81,15.70,314,231,0,19088,8382,790,570,190,2.28,1374.85,14.46,2009-05-06 00:01:27,0,0
37,37,Xeretov,35.34,2.26,17.10,267,231,0,2,3.34,32.73,5.12,10.40,4,0,0,7599,1912,174,39,1,3.97,355.08,21.89,2009-05-06 00:01:27,0,0
38,38,HSharp,31.87,1.18,17.00,995,1181,0,4,-1.66,25.80,0.81,14.00,109,122,0,12063,9526,668,327,32,1.27,1268.81,10.03,2009-05-06 00:01:27,0,0
39,39,Idanmel,31.56,1.17,16.80,1088,1063,0,6,2.94,27.90,0.81,15.30,346,214,0,5313,5779,544,546,83,0.92,1235.12,4.74,2009-05-06 00:01:27,0,0
40,40,hatkyinc,31.06,1.01,16.80,1000,930,0,16,2.86,25.81,0.81,14.00,223,171,0,5231,7638,592,761,50,0.68,1162.10,5.01,2009-05-06 00:01:27,0,0
41,41,Naboki,30.82,0.99,16.70,1657,1145,0,8,8.09,24.87,0.83,13.40,126,107,0,9094,6139,801,629,138,1.48,1430.53,6.92,2009-05-06 00:01:27,0,0
42,42,Viscur,33.57,1.89,16.70,357,379,0,4,0.65,26.92,1.16,14.10,35,22,0,7703,2364,277,49,1,3.26,430.11,18.55,2009-05-06 00:01:27,0,0
43,43,danzilla,32.69,1.71,16.50,697,396,0,6,10.19,23.16,1.82,10.60,13,11,0,2734,1643,137,239,43,1.66,645.52,4.45,2009-05-06 00:01:27,0,0
44,44,Jules,30.66,1.16,16.30,950,1171,0,20,-4.56,25.75,0.82,14.00,173,196,0,5497,5278,494,345,43,1.04,1015.58,5.90,2009-05-06 00:01:27,0,0
45,45,Grimmwolf,35.41,2.79,16.20,217,129,0,2,13.67,29.54,1.30,15.40,47,11,0,1427,1279,193,258,21,1.12,175.64,9.22,2009-05-06 00:01:27,0,0
46,46,caveman,30.19,1.09,16.20,1349,1163,0,130,3.34,23.04,0.91,12.20,53,65,0,9180,7725,606,587,93,1.19,1192.54,8.21,2009-05-06 00:01:27,0,0
47,47,Jell,32.77,1.97,16.10,593,387,0,10,11.13,25.72,1.64,12.50,10,22,0,1702,1091,89,53,2,1.56,499.44,3.59,2009-05-06 00:01:27,0,0
48,48,Bahamutz,31.95,1.74,16.00,563,335,0,4,10.74,27.69,1.63,13.70,20,8,0,8119,2053,441,193,32,3.95,502.66,17.03,2009-05-06 00:01:27,0,0
49,49,Stratomaster,29.46,1.00,15.90,1507,1430,0,16,4.18,25.68,0.93,13.70,53,50,0,9345,5560,577,397,31,1.68,1872.73,5.30,2009-05-06 00:01:27,0,0
50,50,RaumVogel,30.54,1.33,15.90,1469,1363,0,106,5.10,25.12,1.86,11.70,15,12,0,1730,6575,56,281,19,0.26,1063.55,1.68,2009-05-06 00:01:27,0,0
51,51,Miss_Piggy,28.76,0.80,15.80,2557,1781,0,48,10.48,25.82,0.81,14.00,774,540,0,11888,9133,580,1161,200,1.30,2497.80,4.99,2009-05-06 00:01:27,0,0
52,52,bigrou,30.18,1.27,15.80,884,772,0,0,1.60,23.21,1.67,10.90,13,12,0,8617,7654,698,186,9,1.13,1078.61,8.64,2009-05-06 00:01:27,0,0
53,53,Death3D,30.20,1.28,15.80,868,984,0,14,-3.30,24.49,0.97,12.90,39,43,0,9216,9256,1028,363,26,1.00,1219.11,8.40,2009-05-06 00:01:27,0,0
54,54,Hyro,29.71,1.20,15.70,908,1112,0,24,-0.73,22.61,1.54,10.80,15,17,0,13233,9064,516,523,16,1.46,1100.15,12.50,2009-05-06 00:01:27,0,0
55,55,Firestorm,28.97,0.93,15.70,2159,1709,0,26,10.63,25.17,0.81,13.60,322,263,0,12291,14260,896,906,56,0.86,2478.61,5.32,2009-05-06 00:01:27,0,0
56,56,Bierfuizl,33.15,2.32,15.70,289,253,0,10,3.26,35.96,3.95,14.50,9,0,0,2714,1389,164,102,13,1.95,293.85,9.79,2009-05-06 00:01:27,0,0
57,57,Narg,29.76,1.25,15.60,959,733,0,8,5.23,23.50,0.81,12.60,100,118,0,6263,3642,467,183,20,1.72,921.12,7.31,2009-05-06 00:01:27,0,0
58,58,GrimReefer,29.05,1.01,15.60,1367,1296,0,42,2.75,24.70,0.81,13.40,270,304,0,15162,10991,990,911,48,1.38,1664.93,9.70,2009-05-06 00:01:27,0,0
59,59,l1ngus,29.18,1.12,15.50,1190,1006,0,12,3.71,25.14,0.80,13.60,160,146,0,10926,10353,1109,551,36,1.06,1382.13,8.71,2009-05-06 00:01:27,0,0
60,60,Chiveicrook,29.58,1.32,15.40,651,651,0,2,1.37,25.19,0.83,13.60,94,86,0,5570,5197,506,158,23,1.07,751.39,8.09,2009-05-06 00:01:27,0,0
61,61,CaptainNeutron,31.99,2.11,15.40,366,201,0,0,12.30,26.50,1.11,13.90,34,31,0,956,1030,68,132,3,0.93,307.21,3.33,2009-05-06 00:01:27,0,0
